area_code;area;proc_code;process;subproc_code;subprocess;product;chips,peeler_cores;sanding_dust;shrinkage;literature
38;Sri Lanka;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
39;Chad;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
40;Chile;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
41;China, mainland;p06;Veneer production;p06_nc;Veneer production, non-coniferous;65;30;3;2;FAO, ITTO and United Nations (2020)
42;Christmas Island;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
44;Colombia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
45;Comoros;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
46;Congo;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
47;Cook Islands;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
48;Costa Rica;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
49;Cuba;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
50;Cyprus;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
51;Czechoslovakia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
52;Azerbaijan;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
53;Benin;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
54;Denmark;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
55;Dominica;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
56;Dominican Republic;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
57;Belarus;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
58;Ecuador;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
59;Egypt;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
60;El Salvador;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
61;Equatorial Guinea;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
63;Estonia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
64;Faroe Islands;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
65;Falkland Islands (Malvinas);p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
66;Fiji;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
67;Finland;p06;Veneer production;p06_nc;Veneer production, non-coniferous;37;54;2;9;FAO, ITTO and United Nations (2020)
68;France;p06;Veneer production;p06_nc;Veneer production, non-coniferous;45;NA;NA;NA;FAO, ITTO and United Nations (2020)
69;French Guyana;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
70;French Polynesia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
72;Djibouti;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
73;Georgia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
74;Gabon;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
75;Gambia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
79;Germany;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
80;Bosnia and Herzegovina;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
81;Ghana;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
82;Gibraltar;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
83;Kiribati;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
84;Greece;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
87;Guadeloupe;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
89;Guatemala;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
90;Guinea;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
91;Guyana;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
93;Haiti;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
95;Honduras;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
96;China, Hong Kong SAR;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
97;Hungary;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
98;Croatia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
99;Iceland;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
100;India;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
101;Indonesia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
102;Iran (Islamic Republic of);p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
103;Iraq;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
104;Ireland;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
105;Israel;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
106;Italy;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
107;Cote d'Ivoire;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
108;Kazakhstan;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
109;Jamaica;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
110;Japan;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
112;Jordan;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
113;Kyrgyzstan;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
114;Kenya;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
115;Cambodia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
116;Democratic People's Republic of Korea;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
117;Republic of Korea;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
118;Kuwait;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
119;Latvia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
120;Lao People's Democratic Republic;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
121;Lebanon;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
122;Lesotho;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
123;Liberia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
124;Libya;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
125;Liechtenstein;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
126;Lithuania;p06;Veneer production;p06_nc;Veneer production, non-coniferous;46;45;3;6;FAO, ITTO and United Nations (2020)
128;China, Macao SAR;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
129;Madagascar;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
130;Malawi;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
131;Malaysia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;50;38;4;8;FAO, ITTO and United Nations (2020)
132;Maldives;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
133;Mali;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
134;Malta;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
135;Martinique;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
136;Mauritania;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
137;Mauritius;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
138;Mexico;p06;Veneer production;p06_nc;Veneer production, non-coniferous;40;45;5;10;FAO, ITTO and United Nations (2020)
141;Mongolia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
143;Morocco;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
144;Mozambique;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
145;Micronesia (Federated States of);p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
146;Republic of Moldova;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
147;Namibia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
149;Nepal;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
150;Netherlands;p06;Veneer production;p06_nc;Veneer production, non-coniferous;51;45;2;2;FAO, ITTO and United Nations (2020)
151;Netherlands Antilles;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
153;New Caledonia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
154;North Macedonia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
155;Vanuatu;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
156;New Zealand;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
157;Nicaragua;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
158;Niger;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
159;Nigeria;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
160;Niue;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
161;Norfolk Island;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
162;Norway;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
165;Pakistan;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
166;Panama;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
167;Czechia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
168;Papua New Guinea;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
169;Paraguay;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
170;Peru;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
171;Philippines;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
173;Poland;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
174;Portugal;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
175;Guinea-Bissau;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
176;Timor-Leste;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
178;Eritrea;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
179;Qatar;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
181;Zimbabwe;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
182;Reunion;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
183;Romania;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
184;Rwanda;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
185;Russian Federation;p06;Veneer production;p06_nc;Veneer production, non-coniferous;44;38;4;14;FAO, ITTO and United Nations (2020)
186;Serbia and Montenegro;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
189;Saint Lucia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
190;Saint Pierre and Miquelon;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
191;Saint Vincent and the Grenadines;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
193;Sao Tome and Principe;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
194;Saudi Arabia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
195;Senegal;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
196;Seychelles;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
197;Sierra Leone;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
198;Slovenia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;40;50;2;8;FAO, ITTO and United Nations (2020)
199;Slovakia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
200;Singapore;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
201;Somalia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
202;South Africa;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
203;Spain;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
207;Suriname;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
208;Tajikistan;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
209;Eswatini;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
210;Sweden;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
211;Switzerland;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
212;Syrian Arab Republic;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
213;Turkmenistan;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
214;China, Taiwan Province of;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
215;United Republic of Tanzania;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
216;Thailand;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
217;Togo;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
219;Tonga;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
220;Trinidad and Tobago;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
221;Oman;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
222;Tunisia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
223;Turkey;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
224;Turks and Caicos Islands;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
225;United Arab Emirates;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
226;Uganda;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
229;United Kingdom;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
230;Ukraine;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
231;United States of America;p06;Veneer production;p06_nc;Veneer production, non-coniferous;48;47;2;3;FAO, ITTO and United Nations (2020)
233;Burkina Faso;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
234;Uruguay;p06;Veneer production;p06_nc;Veneer production, non-coniferous;42;NA;NA;NA;FAO, ITTO and United Nations (2020)
235;Uzbekistan;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
236;Venezuela (Bolivarian Republic of);p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
237;Viet Nam;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
238;Ethiopia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
239;British Virgin Islands;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
244;Samoa;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
249;Yemen;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
250;Democratic Republic of the Congo;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
251;Zambia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
255;Belgium;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
256;Luxembourg;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
270;Mayotte;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
272;Serbia;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
273;Montenegro;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
276;Sudan;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
277;South Sudan;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
5;American Samoa;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
8;Antigua and Barbuda;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
17;Bermuda;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
24;British Indian Ocean Territory;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
36;Cayman Islands;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
43;Cocos (Keeling) Islands;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
71;French Southern and Antarctic Territories;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
85;Greenland;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
86;Grenada;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
88;Guam;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
94;Holy See;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
127;Marshall Islands;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
142;Montserrat;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
148;Nauru;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
163;Northern Mariana Islands;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
164;Pacific Islands Trust Territory;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
172;Pitcairn Islands;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
180;Palau;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
187;Saint Helena, Ascension and Tristan da Cunha;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
188;Saint Kitts and Nevis;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
192;San Marino;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
205;Western Sahara;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
218;Tokelau;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
227;Tuvalu;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
228;USSR;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
242;Wake Island;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
243;Wallis and Futuna Islands;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
248;Yugoslav SFR;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
258;Anguilla;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
279;Curaçao;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
281;Saint-Martin (French Part);p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
299;Palestine;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
252;Unspecified Area;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
254;Others (adjustment);p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
999;RoW;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
;ASI;p06;Veneer production;p06_nc;Veneer production, non-coniferous;58;34;4;5;FAO, ITTO and United Nations (2020)
;EUR;p06;Veneer production;p06_nc;Veneer production, non-coniferous;44;46;3;8;FAO, ITTO and United Nations (2020)
;AFR;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
;LAM;p06;Veneer production;p06_nc;Veneer production, non-coniferous;41;45;5;10;FAO, ITTO and United Nations (2020)
;OCE;p06;Veneer production;p06_nc;Veneer production, non-coniferous;NA;NA;NA;NA;NA
;NAM;p06;Veneer production;p06_nc;Veneer production, non-coniferous;51;41;5;4;FAO, ITTO and United Nations (2020)
1;Armenia;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
2;Afghanistan;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
3;Albania;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
4;Algeria;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
6;Andorra;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
7;Angola;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
9;Argentina;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
10;Australia;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
11;Austria;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
12;Bahamas;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
13;Bahrain;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
14;Barbados;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
15;Belgium-Luxembourg;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
16;Bangladesh;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
18;Bhutan;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
19;Bolivia (Plurinational State of);p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
20;Botswana;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
21;Brazil;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
22;Aruba;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
23;Belize;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
25;Solomon Islands;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
26;Brunei Darussalam;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
27;Bulgaria;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
28;Myanmar;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
29;Burundi;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
32;Cameroon;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
33;Canada;p07;Plywood production;p07_c;Plywood production, coniferous;52;37;6;5;FAO, ITTO and United Nations (2020)
35;Cabo Verde;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
37;Central African Republic;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
38;Sri Lanka;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
39;Chad;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
40;Chile;p07;Plywood production;p07_c;Plywood production, coniferous;50;NA;NA;NA;FAO, ITTO and United Nations (2020)
41;China, mainland;p07;Plywood production;p07_c;Plywood production, coniferous;60;30;5;5;FAO, ITTO and United Nations (2020)
42;Christmas Island;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
44;Colombia;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
45;Comoros;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
46;Congo;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
47;Cook Islands;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
48;Costa Rica;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
49;Cuba;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
50;Cyprus;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
51;Czechoslovakia;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
52;Azerbaijan;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
53;Benin;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
54;Denmark;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
55;Dominica;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
56;Dominican Republic;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
57;Belarus;p07;Plywood production;p07_c;Plywood production, coniferous;NA;NA;NA;NA;NA
